factors,iterations,learning_rate,performance,regularization
250,650,0.004,0.02266668536345972,0.06
275,425,0.08,0.03177556547604141,0.004
750,750,0.09,0.03339020885633511,0.003
425,50,0.002,0.0013013494751358504,0.02
225,525,0.0004,0.0012231220187086643,0.0001
650,475,0.004,0.02386062118467866,0.0008
250,575,0.0008,0.0004024768551131503,0.08
50,175,0.003,0.012518172222219893,0.0001
725,75,0.0001,0.007327704815499109,0.01
225,625,0.03,0.031626767672248625,0.009000000000000001
525,50,0.007,0.0009717623496304667,0.0009000000000000001
50,650,0.02,0.025315802318478534,0.003
750,175,0.0009000000000000001,0.0010559313241890022,0.02
725,275,0.04,0.02925145195926476,0.006
750,50,0.007,0.00045497559375267467,0.05
600,625,0.0009000000000000001,0.00034111990656119414,0.08
575,25,0.009000000000000001,0.000669756744034541,0.01
300,650,0.04,0.026527953660021072,0.0004
325,600,0.06,0.025866975855441583,0.06
575,600,0.01,0.02873128492242716,0.008
625,725,0.02,0.029437394192090016,0.005
400,50,0.001,0.002221399749335905,0.08
475,450,0.0002,0.002875030900124376,0.0006000000000000001
200,650,0.003,0.012683215486297552,0.08
175,700,0.0001,0.004749345249358752,0.007
725,525,0.0005,0.0009032635818634301,0.001
400,675,0.07,0.0338031689412058,0.007
375,650,0.06,0.02504715635475488,0.0002
25,150,0.0007,0.0011914811487895663,0.008
525,300,0.002,0.012322204811526035,0.0009000000000000001
625,300,0.0007,0.00136818292632427,0.005
350,50,0.005,0.0005226967761559011,0.001
475,425,0.003,0.02148022901847714,0.002
550,275,0.06,0.029598899559259928,0.004
225,125,0.0006000000000000001,0.0027023009959731303,0.09
125,725,0.0008,0.00040520185265854154,0.07
100,450,0.05,0.024468309127482782,0.0002
350,650,0.06,0.021151099268264625,0.08
675,150,0.0001,0.006437554056596603,0.007
550,275,0.009000000000000001,0.024656184734297704,0.01
725,150,0.004,0.01019187100969684,0.002
600,350,0.0002,0.003450095910709299,0.00030000000000000003
600,475,0.007,0.024938413859499006,0.0007
675,625,0.03,0.031172127910257374,0.03
250,100,0.08,0.02667650240408824,0.004
650,125,0.007,0.0006616496188216244,0.06
425,425,0.0004,0.0019196449938218719,0.04
650,700,0.009000000000000001,0.028497707945647162,0.008
600,575,0.03,0.031723501464698704,0.009000000000000001
175,50,0.0009000000000000001,0.002157440843533862,0.02
150,500,0.03,0.026572100757878737,0.0005
625,675,0.0008,0.007354591159016562,0.006
350,325,0.05,0.029710914767554844,0.005
100,500,0.002,0.001564562429332777,0.08
225,475,0.0007,0.000850962345748138,0.04
400,500,0.04,0.030993581400971755,0.005
125,400,0.0002,0.0027660572372241294,0.003
525,25,0.00030000000000000003,0.005360280011760967,0.004
725,575,0.009000000000000001,0.025331532097484524,0.0005
75,200,0.02,0.02389433178404839,0.00030000000000000003
350,375,0.009000000000000001,0.025298613049674103,0.0002
275,425,0.01,0.01696973798931113,0.09
500,150,0.02,0.02474190908906712,0.005
725,50,0.08,0.01058319156298051,0.08
325,200,0.0002,0.0060660324440845875,0.009000000000000001
100,50,0.009000000000000001,0.005784771897567675,0.0008
550,275,0.01,0.024379584656278947,0.006
75,600,0.08,0.02267886334417833,0.0001
125,500,0.06,0.029454692514220848,0.003
500,575,0.005,0.025316050740910923,0.03
275,725,0.0005,0.0036602211604402305,0.0001
575,575,0.00030000000000000003,0.0012926883707500038,0.09
300,350,0.008,0.024437233352511932,0.002
475,50,0.02,0.01915264304351714,0.0001
725,275,0.0007,0.0008420775563356559,0.009000000000000001
625,175,0.03,0.0248601460311115,0.0005
75,700,0.008,0.02483272688682403,0.06
525,725,0.01,0.02604818628139863,0.001
650,200,0.02,0.024678018905038384,0.0004
25,500,0.004,0.01949327098136606,0.0002
25,150,0.008,0.019319319354232724,0.002
200,225,0.002,0.0005387624561005503,0.02
500,100,0.02,0.023955125126647943,0.0001
700,375,0.07,0.030733348336874994,0.004
475,275,0.0002,0.003641374034188653,0.0008
300,375,0.05,0.03233505665681555,0.01
250,425,0.008,0.01756574360767341,0.08
400,625,0.07,0.02509174072929257,0.0002
25,25,0.00030000000000000003,0.0031669885149158473,0.008
625,225,0.02,0.021199922141502948,0.06
125,150,0.0006000000000000001,0.0018126512067980316,0.0004
700,100,0.03,0.021181673552562893,0.04
425,425,0.001,0.004796518679410329,0.00030000000000000003
500,550,0.004,0.015101462107387524,0.07
75,400,0.00030000000000000003,0.001176554169912482,0.001
100,150,0.00030000000000000003,0.004138914321571059,0.008
400,100,0.05,0.02636930938628268,0.005
700,75,0.0001,0.00812530447674222,0.0009000000000000001
500,300,0.0008,0.0010562359470440274,0.001
575,25,0.0004,0.005414864165363116,0.002
500,450,0.03,0.024722940934190314,0.06
325,25,0.07,0.020717141791198893,0.0001
700,450,0.00030000000000000003,0.0019727460129699815,0.002
175,225,0.0009000000000000001,0.0012902805587692602,0.0006000000000000001
500,525,0.06,0.03292023927949188,0.008
50,375,0.02,0.025685708698605567,0.04
600,650,0.06,0.02789721530574084,0.0008
525,700,0.08,0.024851794037150064,0.0001
575,725,0.0006000000000000001,0.0012497967179156018,0.03
450,375,0.01,0.026851287288499028,0.008
625,75,0.001,0.002061251793060956,0.0008
525,750,0.0006000000000000001,0.000627239956143302,0.02
700,225,0.006,0.01648536540773839,0.03
350,50,0.07,0.022757161093157518,0.0007
275,300,0.00030000000000000003,0.0024690256838724857,0.0009000000000000001
600,400,0.005,0.024360290029270787,0.0001
125,525,0.0004,0.0008781198000271456,0.0006000000000000001
100,725,0.0004,0.0015104427229079324,0.007
500,250,0.002,0.0040118769916235005,0.007
350,425,0.0002,0.0024979444283439577,0.0009000000000000001
200,700,0.006,0.025508337754862425,0.0008
525,250,0.0005,0.0014110942348947303,0.006
25,50,0.0004,0.002652511202107749,0.0002
350,250,0.04,0.016455899687740014,0.09
475,125,0.0001,0.0078688440490814,0.003
325,475,0.003,0.022392266119268808,0.007
400,275,0.05,0.02652920867126084,0.001
300,425,0.003,0.022633752235817754,0.0008
150,725,0.05,0.032531154412817134,0.008
500,725,0.08,0.030947849506718826,0.002
625,600,0.07,0.03021262833497458,0.002
500,375,0.01,0.021970629754048742,0.06
600,675,0.003,0.023287520353032106,0.003
50,175,0.008,0.021773621808737785,0.008
400,450,0.0001,0.0044747061430618065,0.007
725,200,0.06,0.02799203165496911,0.004
